GEOID,2024-2029 Growth Rate: Owner Occ HUs
210039204.0,0.0016
210039205.0,0.0023
210039206.0,0.004
210350101.0,0.003
210350102.0,0.0021
210350103.01,0.006500000000000001
210350103.03,0.0141
210350103.04,0.024900000000000002
210350104.0,0.0128
210350105.0,0.0087
210350106.01,0.0063
210350106.02,0.0046
210350107.0,0.0088
210350108.0,0.005600000000000001
210472013.01,0.0042
210472013.03,0.0085
210472013.04,0.013500000000000002
210472014.0,0.0002
210472015.01,0.0
210472015.02,0.0
210472015.03,0.0
210479801.0,0.0
210539702.02,0.001
210539702.03,-0.0022
210539702.04,-0.0016
210579502.0,0.0003
210759601.0,-0.0012
210830202.0,0.0034000000000000002
210830203.01,0.0002
210830204.0,0.0013
210830205.0,-0.0008
210830209.0,-0.0006
211059701.0,0.0003
211419606.0,0.0021
211719302.0,0.0003
211719303.0,0.0024
211719304.0,0.0021
212139701.0,0.0129
212139704.01,0.03
212139704.02,0.0015
212199503.0,0.0043
212199504.0,0.0053
212219703.02,0.0033
212219801.0,0.0
212219802.0,0.0
212319204.02,0.0
212319207.01,0.0
470039501.0,0.0148
470039502.01,0.0103
470039502.02,0.0105
470039503.0,0.0109
470039504.01,0.0183
470039504.02,0.0287
470039505.0,0.0147
470039506.0,0.027200000000000002
470039507.0,0.0141
470039508.0,0.0108
470059630.0,0.0040999999999999995
470059631.0,-0.0002
470059632.0,0.0062
470059633.0,0.0006
470059634.0,0.0005
470079530.0,0.0124
470079531.01,0.0148
470079531.02,0.0196
470079532.0,0.0179
470110107.0,0.015
470110110.0,0.0131
470110113.01,0.0126
470110113.02,0.0091
470110114.02,0.0155
470110114.03,0.0033
470110114.04,0.0184
470110115.01,0.0106
470110115.02,0.0137
470159601.0,0.015700000000000002
470159602.01,0.014199999999999999
470159602.02,0.0154
470159603.0,0.0060999999999999995
470179620.0,0.002
470179621.01,0.0006
470179621.02,0.0052
470179622.01,0.0015
470179622.02,0.0011
470179623.0,0.0055000000000000005
470179624.0,0.0034000000000000002
470179625.0,0.0005
470179801.0,0.0
470210701.02,0.0088
470210701.03,0.0051
470210701.04,0.0129
470210702.01,0.0281
470210702.02,0.015300000000000001
470210702.03,0.0141
470210703.0,0.0159
470210704.01,0.0143
470210704.02,0.0036
470239701.01,0.0132
470239701.02,0.0048
470239702.0,0.006500000000000001
470239703.01,0.0037
470239703.02,0.0040999999999999995
470279550.0,0.0034999999999999996
470279551.0,-0.0002
470319701.0,0.0115
470319702.01,0.0078000000000000005
470319702.02,0.019799999999999998
470319703.0,0.0070999999999999995
470319704.01,0.019
470319704.02,0.0196
470319705.01,0.0069
470319705.02,0.0231
470319706.0,0.0111
470319707.0,0.0128
470319708.01,0.0132
470319708.03,0.015600000000000001
470319708.04,0.018500000000000003
470319709.0,0.0208
470319710.01,0.034
470319710.02,0.0087
470319801.0,0.0
470339610.0,0.0046
470359701.01,0.0158
470359701.03,0.0076
470359701.04,0.021400000000000002
470359702.01,0.011200000000000002
470359702.02,0.022799999999999997
470359703.01,0.0174
470359703.02,0.0223
470359704.01,0.0326
470359704.02,0.0199
470359705.01,0.021
470359705.02,0.020499999999999997
470359706.01,0.0148
470359706.02,0.008
470359706.03,0.016
470359707.01,0.0252
470359707.02,0.0195
470359708.0,0.0118
470370101.03,0.005600000000000001
470370101.04,-0.002
470370101.05,0.0027
470370101.06,0.01
470370102.01,0.0181
470370102.02,-0.0009
470370103.01,0.005600000000000001
470370103.02,0.0063
470370103.03,0.0021
470370104.01,0.01
470370104.03,0.0275
470370104.04,0.006999999999999999
470370105.01,0.013999999999999999
470370105.02,0.005600000000000001
470370106.01,0.0062
470370106.02,0.0163
470370107.01,0.0195
470370107.02,0.0134
470370108.01,0.006500000000000001
470370108.02,0.0036
470370109.01,0.0017000000000000001
470370109.03,0.0103
470370109.04,0.0123
470370110.01,0.0128
470370110.02,0.0085
470370111.0,0.0073
470370112.0,0.0116
470370113.0,0.0064
470370114.0,0.0187
470370115.0,0.0006
470370116.0,0.0123
470370117.0,0.0078000000000000005
470370118.0,0.0171
470370119.0,0.0304
470370121.0,0.0012
470370122.0,0.0027
470370126.0,0.0
470370127.01,0.0049
470370127.02,0.0034999999999999996
470370128.01,0.0055000000000000005
470370128.02,0.003
470370130.01,0.0
470370130.02,0.0
470370131.0,-0.0022
470370132.01,0.0092
470370132.02,0.009399999999999999
470370133.0,0.019799999999999998
470370134.0,0.0022
470370135.0,0.0037
470370136.0,0.0149
470370137.01,0.013999999999999999
470370137.02,0.0
470370138.0,0.0108
470370139.0,0.028399999999999998
470370142.0,0.0076
470370143.0,0.0285
470370144.0,0.0
470370148.0,0.045599999999999995
470370151.0,0.018500000000000003
470370152.0,0.011899999999999999
470370153.0,0.0079
470370154.01,-0.0023
470370154.02,0.028999999999999998
470370154.04,0.0058
470370154.05,0.005
470370155.01,0.0177
470370155.02,0.0055000000000000005
470370156.09,0.0029
470370156.13,0.015
470370156.14,0.0026
470370156.15,0.0089
470370156.17,-0.0023
470370156.18,0.0028000000000000004
470370156.19,-0.0006
470370156.2,0.0014000000000000002
470370156.22,0.0039000000000000003
470370156.23,0.0069
470370156.24,0.0066
470370156.25,0.006
470370156.26,0.0128
470370156.27,-0.0007000000000000001
470370156.28,0.0321
470370156.29,0.0058
470370156.3,0.018500000000000003
470370156.32,0.0113
470370156.33,0.0134
470370156.34,0.0118
470370156.35,-0.0023
470370156.36,0.0125
470370156.37,0.0033
470370157.0,0.0033
470370158.04,0.013300000000000001
470370158.05,0.0016
470370158.06,0.0121
470370159.0,0.0366
470370160.0,0.0
470370161.0,0.0
470370162.0,0.0079
470370163.0,0.015
470370164.0,0.0052
470370165.0,0.0
470370166.0,0.01
470370167.0,0.0043
470370168.0,-0.0008
470370169.0,0.0044
470370170.0,0.0006
470370171.0,0.0132
470370172.0,0.0
470370173.0,0.0079
470370174.01,0.015
470370174.02,0.009000000000000001
470370175.0,0.0075
470370177.01,-0.0013
470370177.02,0.0060999999999999995
470370178.0,0.0045000000000000005
470370179.01,0.0005
470370179.02,-0.0002
470370180.0,0.0
470370181.01,0.008199999999999999
470370181.02,0.0036
470370182.01,-0.0019
470370182.03,-0.0049
470370182.04,0.009399999999999999
470370182.05,0.0027
470370183.02,0.011399999999999999
470370183.03,0.011399999999999999
470370183.04,-0.0037
470370184.04,0.0132
470370184.05,-0.0019
470370184.07,-0.0049
470370184.08,0.0023
470370184.09,-0.0018
470370184.1,0.0152
470370184.11,0.0143
470370184.12,0.0104
470370185.0,-0.0037
470370186.01,-0.0045000000000000005
470370186.02,-0.004
470370187.0,-0.0037
470370188.01,-0.0004
470370188.03,0.0019
470370188.04,0.0084
470370189.01,0.0013
470370189.02,0.0006
470370189.04,0.0028000000000000004
470370189.05,0.0062
470370190.03,0.0064
470370190.04,0.016399999999999998
470370190.07,0.0121
470370190.08,0.0078000000000000005
470370191.05,0.0212
470370191.06,0.0097
470370191.08,0.009399999999999999
470370191.09,0.0022
470370191.1,0.006500000000000001
470370191.11,0.006500000000000001
470370191.12,0.0069
470370191.15,-0.0044
470370191.16,0.0078000000000000005
470370191.17,0.0472
470370191.18,0.0043
470370191.19,0.005600000000000001
470370191.2,-0.0005
470370191.21,0.004699999999999999
470370192.0,0.008
470370193.0,0.005699999999999999
470370194.01,0.0
470370194.02,0.0040999999999999995
470370195.01,0.0132
470370195.02,0.0
470370195.03,0.0024
470370196.0,0.005699999999999999
470379801.0,0.0
470379802.0,0.0
470399550.01,-0.0012
470399550.03,0.0040999999999999995
470399550.04,-0.0027
470399551.01,-0.0004
470399551.02,0.0005
470419201.01,0.014499999999999999
470419201.02,0.0143
470419202.01,0.028399999999999998
470419202.02,0.023799999999999998
470419203.0,0.0155
470430601.0,0.0206
470430602.01,0.0168
470430602.02,0.0105
470430603.0,0.0121
470430604.01,0.0124
470430604.02,0.0105
470430605.01,0.0172
470430605.02,0.0171
470430606.01,0.0178
470430606.02,0.0286
470430607.0,0.012199999999999999
470499650.0,0.0169
470499651.0,0.0174
470499652.01,0.0177
470499652.02,0.011200000000000002
470499653.0,0.0196
470519601.0,0.013300000000000001
470519602.01,0.0167
470519602.02,0.0092
470519603.0,0.012199999999999999
470519604.01,0.0166
470519604.02,0.0232
470519605.0,0.0155
470519606.0,0.0109
470519607.0,0.0088
470519608.0,0.0074
470539662.0,0.005
470539663.0,0.004
470539664.0,0.0089
470539665.01,0.0066
470539665.02,0.0124
470539666.0,0.016
470539667.01,0.0129
470539667.02,0.0063
470539669.0,0.009899999999999999
470539670.01,0.018500000000000003
470539670.02,0.0259
470539671.0,0.0039000000000000003
470539674.0,0.0049
470539801.0,0.0
470559201.0,0.0106
470559202.0,0.0143
470559203.01,0.008
470559203.02,0.0046
470559204.0,0.0173
470559205.0,0.0126
470559206.0,0.01
470559207.0,0.0049
470559208.0,0.009899999999999999
470619550.0,-0.005600000000000001
470619551.0,0.005699999999999999
470619552.0,0.0078000000000000005
470619553.0,0.004699999999999999
470650101.01,0.0077
470650101.03,0.012
470650101.04,0.0044
470650102.01,0.0095
470650102.02,0.0149
470650103.03,0.0131
470650103.04,0.0024
470650103.05,0.0055000000000000005
470650103.06,0.0104
470650103.08,0.02
470650103.09,0.0059
470650104.11,0.015300000000000001
470650104.12,0.0072
470650104.13,0.0034000000000000002
470650104.31,0.0158
470650104.32,0.0053
470650104.33,0.0083
470650104.34,0.0042
470650104.35,0.0169
470650105.01,0.010700000000000001
470650105.02,0.005699999999999999
470650106.0,0.0144
470650107.0,0.011200000000000002
470650108.0,0.0115
470650109.02,0.0108
470650109.04,0.0108
470650109.05,0.0256
470650110.01,0.018799999999999997
470650110.03,0.014199999999999999
470650110.04,0.0069
470650111.0,0.0028000000000000004
470650112.05,0.0097
470650112.06,0.0236
470650114.02,0.0095
470650114.11,0.013300000000000001
470650114.13,0.014499999999999999
470650114.47,0.005699999999999999
470650121.0,0.013999999999999999
470659802.0,0.0
470699501.0,0.0016
470699504.0,0.0070999999999999995
470699505.0,0.01
470719201.0,0.016200000000000003
470719202.0,0.0097
470719203.0,0.0077
470719204.01,0.023799999999999998
470719204.02,0.0159
470719205.01,0.006
470719205.02,0.0085
470719206.0,0.009399999999999999
470779750.0,0.0023
470779751.0,0.0
470779752.0,0.0037
470779753.01,0.0054
470779753.02,0.0111
470779754.0,0.0025
470779755.0,0.0074
470799690.01,0.0045000000000000005
470799690.02,-0.0003
470799691.0,0.0028000000000000004
470799692.0,0.0008
470799693.0,0.0044
470799694.0,0.0008
470799695.01,0.0018
470799695.02,0.006500000000000001
470799696.01,0.0002
470799696.02,0.0
470799697.0,0.0016
470799698.0,-0.0003
470819501.0,0.012
470819502.01,0.018000000000000002
470819502.02,0.0102
470819503.01,0.0147
470819503.02,0.0111
470819504.0,0.0152
470819505.0,0.0049
470831201.0,0.0031
470831202.0,0.0017000000000000001
470831203.0,-0.0019
470851301.0,0.009399999999999999
470851302.0,0.0078000000000000005
470851303.0,-0.0005
470851304.0,0.0004
470851305.0,-0.0037
470879601.0,0.015700000000000002
470879602.0,0.0017000000000000001
470879603.0,0.0046
470879604.0,0.0036
470999601.0,0.021
470999602.0,0.012
470999603.0,0.013999999999999999
470999604.01,0.0124
470999604.02,0.0105
470999605.01,0.021400000000000002
470999605.02,0.0055000000000000005
470999606.0,0.005600000000000001
470999607.0,0.0068000000000000005
470999608.0,0.0125
470999609.0,0.0083
471019701.0,0.018000000000000002
471019702.0,0.0128
471039750.0,0.0092
471039751.0,0.0098
471039752.0,0.012
471039753.0,0.0148
471039754.0,0.0118
471039755.0,0.015600000000000001
471039757.0,0.0067
471099301.0,0.0129
471099302.0,0.0031
471099303.0,0.0034999999999999996
471099304.0,0.0029
471099305.01,0.0029
471099305.02,0.0045000000000000005
471099306.0,0.003
471099307.0,0.003
471119701.0,0.0163
471119702.0,0.015600000000000001
471119703.01,0.0163
471119703.02,0.0235
471119704.0,0.0208
471130001.0,0.0134
471130002.0,0.013500000000000002
471130003.0,0.011200000000000002
471130004.0,0.0132
471130005.0,0.0155
471130006.0,0.0125
471130007.0,0.026000000000000002
471130008.0,0.0192
471130009.0,0.0159
