origin_FIPS,origin_county,destination_FIPS,destination_county,people_outflow,agi_outflow,agi_capita_outflow,year
47037,"Davidson County, TN",39035,"Cuyahoga County, OH",102,5329000,52245.098039215685,2022
47037,"Davidson County, TN",48085,"Collin County, TX",86,5349000,62197.67441860465,2022
47037,"Davidson County, TN",27053,"Hennepin County, MN",97,6602000,68061.85567010309,2022
47037,"Davidson County, TN",47159,"Smith County, TN",101,3802000,37643.56435643564,2022
47037,"Davidson County, TN",51059,"Fairfax County, VA",101,5612000,55564.35643564357,2022
47037,"Davidson County, TN",25025,"Suffolk County, MA",71,5116000,72056.33802816902,2022
47037,"Davidson County, TN",49035,"Salt Lake County, UT",93,6137000,65989.24731182796,2022
47037,"Davidson County, TN",21047,"Christian County, KY",94,2454000,26106.382978723403,2022
47037,"Davidson County, TN",08041,"El Paso County, CO",83,4578000,55156.6265060241,2022
47037,"Davidson County, TN",45045,"Greenville County, SC",100,4429000,44290.0,2022
47037,"Davidson County, TN",37021,"Buncombe County, NC",97,7560000,77938.14432989691,2022
47037,"Davidson County, TN",36081,"Queens County, NY",78,3207000,41115.38461538462,2022
47037,"Davidson County, TN",12033,"Escambia County, FL",84,3788000,45095.23809523809,2022
47037,"Davidson County, TN",47041,"DeKalb County, TN",87,4330000,49770.11494252874,2022
47037,"Davidson County, TN",12071,"Lee County, FL",79,8103000,102569.62025316455,2022
47037,"Davidson County, TN",47051,"Franklin County, TN",85,8421000,99070.58823529411,2022
47037,"Davidson County, TN",06059,"Orange County, CA",68,3361000,49426.470588235294,2022
47037,"Davidson County, TN",06085,"Santa Clara County, CA",72,4959000,68875.0,2022
47037,"Davidson County, TN",47177,"Warren County, TN",85,3084000,36282.35294117647,2022
47037,"Davidson County, TN",05119,"Pulaski County, AR",81,3515000,43395.06172839506,2022
47037,"Davidson County, TN",12105,"Polk County, FL",85,3856000,45364.705882352944,2022
47037,"Davidson County, TN",48121,"Denton County, TX",83,14365000,173072.2891566265,2022
47037,"Davidson County, TN",06075,"San Francisco County, CA",57,6662000,116877.19298245614,2022
47037,"Davidson County, TN",22071,"Orleans Parish, LA",68,3815000,56102.94117647059,2022
47037,"Davidson County, TN",26163,"Wayne County, MI",73,2708000,37095.890410958906,2022
47037,"Davidson County, TN",47111,"Macon County, TN",75,2269000,30253.333333333332,2022
47037,"Davidson County, TN",12091,"Okaloosa County, FL",67,4281000,63895.522388059704,2022
47037,"Davidson County, TN",08059,"Jefferson County, CO",56,3545000,63303.57142857143,2022
47037,"Davidson County, TN",24031,"Montgomery County, MD",69,3062000,44376.811594202896,2022
47037,"Davidson County, TN",55079,"Milwaukee County, WI",76,2595000,34144.73684210526,2022
47037,"Davidson County, TN",18057,"Hamilton County, IN",77,5042000,65480.51948051948,2022
47037,"Davidson County, TN",01003,"Baldwin County, AL",79,6486000,82101.26582278482,2022
47037,"Davidson County, TN",13051,"Chatham County, GA",58,2953000,50913.793103448275,2022
47037,"Davidson County, TN",41051,"Multnomah County, OR",57,3119000,54719.29824561404,2022
47037,"Davidson County, TN",12081,"Manatee County, FL",62,6769000,109177.41935483871,2022
47037,"Davidson County, TN",12101,"Pasco County, FL",66,3385000,51287.878787878784,2022
47037,"Davidson County, TN",24510,"Baltimore city, MD",51,2832000,55529.41176470588,2022
47037,"Davidson County, TN",37063,"Durham County, NC",61,3562000,58393.44262295082,2022
47037,"Davidson County, TN",47009,"Blount County, TN",64,2770000,43281.25,2022
47037,"Davidson County, TN",12005,"Bay County, FL",63,3779000,59984.12698412698,2022
47037,"Davidson County, TN",17043,"DuPage County, IL",48,1897000,39520.833333333336,2022
47037,"Davidson County, TN",29095,"Jackson County, MO",49,2778000,56693.87755102041,2022
47037,"Davidson County, TN",51760,"Richmond city, VA",50,2945000,58900.0,2022
47037,"Davidson County, TN",29510,"St. Louis city, MO",48,2256000,47000.0,2022
47037,"Davidson County, TN",12115,"Sarasota County, FL",57,5049000,88578.94736842105,2022
47037,"Davidson County, TN",21213,"Simpson County, KY",66,1565000,23712.121212121212,2022
47037,"Davidson County, TN",21145,"McCracken County, KY",58,3141000,54155.1724137931,2022
47037,"Davidson County, TN",06001,"Alameda County, CA",44,3767000,85613.63636363637,2022
47037,"Davidson County, TN",08035,"Douglas County, CO",52,3572000,68692.30769230769,2022
47037,"Davidson County, TN",34017,"Hudson County, NJ",44,4219000,95886.36363636363,2022
47037,"Davidson County, TN",12127,"Volusia County, FL",54,1937000,35870.37037037037,2022
47037,"Davidson County, TN",12131,"Walton County, FL",46,7584000,164869.5652173913,2022
47037,"Davidson County, TN",47155,"Sevier County, TN",48,1955000,40729.166666666664,2022
47037,"Davidson County, TN",08005,"Arapahoe County, CO",43,2190000,50930.232558139534,2022
47037,"Davidson County, TN",12021,"Collier County, FL",43,3657000,85046.51162790698,2022
47037,"Davidson County, TN",26099,"Macomb County, MI",43,1577000,36674.41860465116,2022
47037,"Davidson County, TN",39113,"Montgomery County, OH",48,1552000,32333.333333333332,2022
47037,"Davidson County, TN",47035,"Cumberland County, TN",51,2747000,53862.74509803922,2022
47037,"Davidson County, TN",12009,"Brevard County, FL",52,3589000,69019.23076923077,2022
47037,"Davidson County, TN",36029,"Erie County, NY",50,2467000,49340.0,2022
47037,"Davidson County, TN",37067,"Forsyth County, NC",57,4234000,74280.70175438597,2022
47037,"Davidson County, TN",47169,"Trousdale County, TN",46,1335000,29021.739130434784,2022
47037,"Davidson County, TN",47179,"Washington County, TN",45,1573000,34955.555555555555,2022
47037,"Davidson County, TN",01117,"Shelby County, AL",49,2520000,51428.57142857143,2022
47037,"Davidson County, TN",24033,"Prince George, MD",38,1952000,51368.42105263158,2022
47037,"Davidson County, TN",26081,"Kent County, MI",62,1912000,30838.709677419356,2022
47037,"Davidson County, TN",48491,"Williamson County, TX",47,2449000,52106.382978723406,2022
47037,"Davidson County, TN",12117,"Seminole County, FL",44,1770000,40227.27272727273,2022
47037,"Davidson County, TN",04019,"Pima County, AZ",39,2299000,58948.717948717946,2022
47037,"Davidson County, TN",08013,"Boulder County, CO",37,2286000,61783.78378378379,2022
47037,"Davidson County, TN",22033,"East Baton Rouge Parish, LA",43,1900000,44186.04651162791,2022
47037,"Davidson County, TN",31055,"Douglas County, NE",40,3622000,90550.0,2022
47037,"Davidson County, TN",40109,"Oklahoma County, OK",46,2735000,59456.52173913043,2022
47037,"Davidson County, TN",55025,"Dane County, WI",43,2783000,64720.93023255814,2022
47037,"Davidson County, TN",47001,"Anderson County, TN",37,1551000,41918.91891891892,2022
47037,"Davidson County, TN",47099,"Lawrence County, TN",44,1485000,33750.0,2022
47037,"Davidson County, TN",47105,"Loudon County, TN",43,3084000,71720.93023255814,2022
47037,"Davidson County, TN",47163,"Sullivan County, TN",46,1823000,39630.434782608696,2022
47037,"Davidson County, TN",48339,"Montgomery County, TX",38,2056000,54105.26315789474,2022
47037,"Davidson County, TN",53053,"Pierce County, WA",42,2511000,59785.71428571428,2022
47037,"Davidson County, TN",01125,"Tuscaloosa County, AL",36,1456000,40444.444444444445,2022
47037,"Davidson County, TN",08001,"Adams County, CO",35,2156000,61600.0,2022
47037,"Davidson County, TN",12073,"Leon County, FL",39,2012000,51589.743589743586,2022
47037,"Davidson County, TN",12113,"Santa Rosa County, FL",47,1804000,38382.97872340425,2022
47037,"Davidson County, TN",13057,"Cherokee County, GA",37,1927000,52081.08108108108,2022
47037,"Davidson County, TN",40143,"Tulsa County, OK",46,1478000,32130.434782608696,2022
47037,"Davidson County, TN",05007,"Benton County, AR",36,2395000,66527.77777777778,2022
47037,"Davidson County, TN",06013,"Contra Costa County, CA",39,4137000,106076.92307692308,2022
47037,"Davidson County, TN",06065,"Riverside County, CA",35,1318000,37657.142857142855,2022
47037,"Davidson County, TN",12109,"St. Johns County, FL",41,2603000,63487.80487804878,2022
47037,"Davidson County, TN",36119,"Westchester County, NY",43,2948000,68558.13953488372,2022
47037,"Davidson County, TN",39017,"Butler County, OH",53,1250000,23584.905660377357,2022
47037,"Davidson County, TN",42091,"Montgomery County, PA",39,2711000,69512.82051282052,2022
47037,"Davidson County, TN",47053,"Gibson County, TN",39,953000,24435.897435897437,2022
47037,"Davidson County, TN",01083,"Limestone County, AL",39,1321000,33871.794871794875,2022
47037,"Davidson County, TN",18163,"Vanderburgh County, IN",34,1436000,42235.294117647056,2022
47037,"Davidson County, TN",20091,"Johnson County, KS",38,1917000,50447.36842105263,2022
47037,"Davidson County, TN",21141,"Logan County, KY",46,1129000,24543.478260869564,2022
47037,"Davidson County, TN",36055,"Monroe County, NY",44,1276000,29000.0,2022
47037,"Davidson County, TN",47055,"Giles County, TN",41,1337000,32609.756097560974,2022
47037,"Davidson County, TN",47079,"Henry County, TN",31,741000,23903.225806451614,2022
47037,"Davidson County, TN",47085,"Humphreys County, TN",39,1339000,34333.333333333336,2022
47037,"Davidson County, TN",17097,"Lake County, IL",34,2041000,60029.41176470588,2022
47037,"Davidson County, TN",37081,"Guilford County, NC",37,1613000,43594.59459459459,2022
47037,"Davidson County, TN",01077,"Lauderdale County, AL",41,2036000,49658.53658536585,2022
47037,"Davidson County, TN",06067,"Sacramento County, CA",35,1515000,43285.71428571428,2022
47037,"Davidson County, TN",12069,"Lake County, FL",42,2060000,49047.619047619046,2022
47037,"Davidson County, TN",17197,"Will County, IL",33,1482000,44909.09090909091,2022
47037,"Davidson County, TN",25021,"Norfolk County, MA",40,3164000,79100.0,2022
47037,"Davidson County, TN",28033,"DeSoto County, MS",47,1458000,31021.27659574468,2022
47037,"Davidson County, TN",37129,"New Hanover County, NC",32,1440000,45000.0,2022
47037,"Davidson County, TN",45079,"Richland County, SC",40,1590000,39750.0,2022
47037,"Davidson County, TN",47011,"Bradley County, TN",30,947000,31566.666666666668,2022
47037,"Davidson County, TN",51003,"Albemarle County, VA",37,4309000,116459.45945945945,2022
47037,"Davidson County, TN",51013,"Arlington County, VA",31,2666000,86000.0,2022
47037,"Davidson County, TN",53011,"Clark County, WA",33,1678000,50848.48484848485,2022
47037,"Davidson County, TN",01097,"Mobile County, AL",31,1273000,41064.51612903226,2022
47037,"Davidson County, TN",06071,"San Bernardino County, CA",27,925000,34259.25925925926,2022
47037,"Davidson County, TN",12083,"Marion County, FL",36,1315000,36527.77777777778,2022
47037,"Davidson County, TN",13151,"Henry County, GA",41,931000,22707.317073170732,2022
47037,"Davidson County, TN",16001,"Ada County, ID",33,1620000,49090.90909090909,2022
47037,"Davidson County, TN",35001,"Bernalillo County, NM",38,1175000,30921.052631578947,2022
47037,"Davidson County, TN",45091,"York County, SC",42,1923000,45785.71428571428,2022
47037,"Davidson County, TN",10003,"New Castle County, DE",31,1223000,39451.6129032258,2022
47037,"Davidson County, TN",12097,"Osceola County, FL",40,1255000,31375.0,2022
47037,"Davidson County, TN",41067,"Washington County, OR",29,1448000,49931.03448275862,2022
47037,"Davidson County, TN",47061,"Grundy County, TN",38,1718000,45210.52631578947,2022
47037,"Davidson County, TN",53061,"Snohomish County, WA",43,1564000,36372.09302325582,2022
47037,"Davidson County, TN",01081,"Lee County, AL",25,1047000,41880.0,2022
47037,"Davidson County, TN",01101,"Montgomery County, AL",25,739000,29560.0,2022
47037,"Davidson County, TN",06081,"San Mateo County, CA",26,1865000,71730.76923076923,2022
47037,"Davidson County, TN",18089,"Lake County, IN",36,939000,26083.333333333332,2022
47037,"Davidson County, TN",26161,"Washtenaw County, MI",29,1797000,61965.51724137931,2022
47037,"Davidson County, TN",34027,"Morris County, NJ",35,1515000,43285.71428571428,2022
47037,"Davidson County, TN",39153,"Summit County, OH",32,1073000,33531.25,2022
47037,"Davidson County, TN",48141,"El Paso County, TX",38,1916000,50421.05263157895,2022
47037,"Davidson County, TN",51041,"Chesterfield County, VA",28,963000,34392.857142857145,2022
47043,"Dickson County, TN",47037,"Davidson County, TN",304,11615000,38207.23684210526,2022
47043,"Dickson County, TN",47081,"Hickman County, TN",286,6425000,22465.034965034964,2022
47043,"Dickson County, TN",47085,"Humphreys County, TN",225,5586000,24826.666666666668,2022
47043,"Dickson County, TN",47125,"Montgomery County, TN",159,3956000,24880.50314465409,2022
47043,"Dickson County, TN",47187,"Williamson County, TN",160,5751000,35943.75,2022
47043,"Dickson County, TN",47021,"Cheatham County, TN",156,3824000,24512.82051282051,2022
47043,"Dickson County, TN",47149,"Rutherford County, TN",70,1713000,24471.428571428572,2022
47043,"Dickson County, TN",47119,"Maury County, TN",72,1633000,22680.555555555555,2022
47043,"Dickson County, TN",47083,"Houston County, TN",55,1355000,24636.363636363636,2022
47043,"Dickson County, TN",47165,"Sumner County, TN",45,1320000,29333.333333333332,2022
47043,"Dickson County, TN",47189,"Wilson County, TN",35,863000,24657.14285714286,2022
47081,"Hickman County, TN",47043,"Dickson County, TN",262,5621000,21454.198473282442,2022
47081,"Hickman County, TN",47187,"Williamson County, TN",118,6486000,54966.101694915254,2022
47081,"Hickman County, TN",47037,"Davidson County, TN",78,1669000,21397.4358974359,2022
47081,"Hickman County, TN",47119,"Maury County, TN",88,1646000,18704.545454545456,2022
47081,"Hickman County, TN",47085,"Humphreys County, TN",41,906000,22097.560975609755,2022
47081,"Hickman County, TN",47101,"Lewis County, TN",57,709000,12438.59649122807,2022
47081,"Hickman County, TN",47135,"Perry County, TN",47,948000,20170.212765957447,2022
47111,"Macon County, TN",47165,"Sumner County, TN",246,5291000,21508.130081300813,2022
47111,"Macon County, TN",47189,"Wilson County, TN",67,1481000,22104.4776119403,2022
47111,"Macon County, TN",47159,"Smith County, TN",60,1110000,18500.0,2022
47111,"Macon County, TN",47169,"Trousdale County, TN",42,900000,21428.571428571428,2022
47111,"Macon County, TN",47037,"Davidson County, TN",38,785000,20657.894736842107,2022
47111,"Macon County, TN",21003,"Allen County, KY",51,808000,15843.137254901962,2022
47119,"Maury County, TN",47187,"Williamson County, TN",1004,39874000,39715.13944223108,2022
47119,"Maury County, TN",47037,"Davidson County, TN",407,17142000,42117.936117936115,2022
47119,"Maury County, TN",47117,"Marshall County, TN",501,14663000,29267.465069860278,2022
47119,"Maury County, TN",47149,"Rutherford County, TN",379,14703000,38794.19525065963,2022
47119,"Maury County, TN",47099,"Lawrence County, TN",500,12183000,24366.0,2022
47119,"Maury County, TN",47055,"Giles County, TN",259,5918000,22849.42084942085,2022
47119,"Maury County, TN",47101,"Lewis County, TN",134,3705000,27649.253731343284,2022
47119,"Maury County, TN",47081,"Hickman County, TN",144,2980000,20694.444444444445,2022
47119,"Maury County, TN",47189,"Wilson County, TN",106,4420000,41698.11320754717,2022
47119,"Maury County, TN",47065,"Hamilton County, TN",66,2020000,30606.060606060608,2022
47119,"Maury County, TN",47125,"Montgomery County, TN",84,2421000,28821.428571428572,2022
47119,"Maury County, TN",47165,"Sumner County, TN",71,2034000,28647.88732394366,2022
47119,"Maury County, TN",47003,"Bedford County, TN",67,2809000,41925.37313432836,2022
47119,"Maury County, TN",01089,"Madison County, AL",57,1535000,26929.824561403508,2022
47119,"Maury County, TN",47043,"Dickson County, TN",67,2015000,30074.626865671642,2022
47119,"Maury County, TN",47157,"Shelby County, TN",35,1202000,34342.857142857145,2022
47147,"Robertson County, TN",47165,"Sumner County, TN",998,36379000,36451.90380761523,2022
47147,"Robertson County, TN",47037,"Davidson County, TN",558,15954000,28591.397849462366,2022
47147,"Robertson County, TN",47125,"Montgomery County, TN",458,11990000,26179.039301310044,2022
47147,"Robertson County, TN",47021,"Cheatham County, TN",186,5413000,29102.15053763441,2022
47147,"Robertson County, TN",47149,"Rutherford County, TN",101,3208000,31762.37623762376,2022
47147,"Robertson County, TN",21141,"Logan County, KY",99,1856000,18747.47474747475,2022
47147,"Robertson County, TN",47189,"Wilson County, TN",89,2985000,33539.32584269663,2022
47147,"Robertson County, TN",21213,"Simpson County, KY",68,1774000,26088.235294117647,2022
47147,"Robertson County, TN",21227,"Warren County, KY",56,911000,16267.857142857143,2022
47147,"Robertson County, TN",47111,"Macon County, TN",51,1106000,21686.274509803923,2022
47149,"Rutherford County, TN",47037,"Davidson County, TN",3421,99705000,29144.986845951476,2022
47149,"Rutherford County, TN",47189,"Wilson County, TN",974,31443000,32282.340862423,2022
47149,"Rutherford County, TN",47003,"Bedford County, TN",982,31105000,31675.152749490833,2022
47149,"Rutherford County, TN",47031,"Coffee County, TN",824,25587000,31052.18446601942,2022
47149,"Rutherford County, TN",47187,"Williamson County, TN",635,31810000,50094.48818897638,2022
47149,"Rutherford County, TN",47125,"Montgomery County, TN",545,16026000,29405.504587155963,2022
47149,"Rutherford County, TN",47165,"Sumner County, TN",414,14812000,35777.77777777778,2022
47149,"Rutherford County, TN",47157,"Shelby County, TN",333,7191000,21594.594594594593,2022
47149,"Rutherford County, TN",47015,"Cannon County, TN",395,11376000,28800.0,2022
47149,"Rutherford County, TN",47119,"Maury County, TN",308,9915000,32191.55844155844,2022
47149,"Rutherford County, TN",47177,"Warren County, TN",331,9690000,29274.924471299095,2022
47149,"Rutherford County, TN",47065,"Hamilton County, TN",268,9455000,35279.850746268654,2022
47149,"Rutherford County, TN",47117,"Marshall County, TN",218,6286000,28834.8623853211,2022
47149,"Rutherford County, TN",47093,"Knox County, TN",179,6730000,37597.76536312849,2022
47149,"Rutherford County, TN",47051,"Franklin County, TN",198,9224000,46585.85858585859,2022
47149,"Rutherford County, TN",47041,"DeKalb County, TN",187,5775000,30882.352941176472,2022
47149,"Rutherford County, TN",01089,"Madison County, AL",121,4533000,37462.80991735537,2022
47149,"Rutherford County, TN",47147,"Robertson County, TN",127,4500000,35433.07086614173,2022
47149,"Rutherford County, TN",47113,"Madison County, TN",125,2529000,20232.0,2022
47149,"Rutherford County, TN",47043,"Dickson County, TN",135,4396000,32562.962962962964,2022
47149,"Rutherford County, TN",47141,"Putnam County, TN",108,3313000,30675.925925925927,2022
47149,"Rutherford County, TN",48201,"Harris County, TX",116,2912000,25103.44827586207,2022
47149,"Rutherford County, TN",04013,"Maricopa County, AZ",88,3493000,39693.181818181816,2022
47149,"Rutherford County, TN",13135,"Gwinnett County, GA",87,2312000,26574.712643678162,2022
47149,"Rutherford County, TN",12057,"Hillsborough County, FL",77,2367000,30740.25974025974,2022
47149,"Rutherford County, TN",47021,"Cheatham County, TN",71,1935000,27253.521126760563,2022
47149,"Rutherford County, TN",13121,"Fulton County, GA",62,2373000,38274.1935483871,2022
47149,"Rutherford County, TN",17031,"Cook County, IL",51,2249000,44098.03921568627,2022
47149,"Rutherford County, TN",12103,"Pinellas County, FL",75,2331000,31080.0,2022
47149,"Rutherford County, TN",13067,"Cobb County, GA",79,2587000,32746.835443037973,2022
47149,"Rutherford County, TN",12031,"Duval County, FL",61,2297000,37655.737704918036,2022
47149,"Rutherford County, TN",21227,"Warren County, KY",66,2172000,32909.09090909091,2022
47149,"Rutherford County, TN",01073,"Jefferson County, AL",74,2101000,28391.891891891893,2022
47149,"Rutherford County, TN",47099,"Lawrence County, TN",62,1599000,25790.322580645163,2022
47149,"Rutherford County, TN",12095,"Orange County, FL",52,1330000,25576.923076923078,2022
47149,"Rutherford County, TN",06037,"Los Angeles County, CA",40,1380000,34500.0,2022
47149,"Rutherford County, TN",12127,"Volusia County, FL",58,2332000,40206.89655172414,2022
47149,"Rutherford County, TN",13089,"DeKalb County, GA",48,1541000,32104.166666666668,2022
47149,"Rutherford County, TN",48113,"Dallas County, TX",52,1563000,30057.69230769231,2022
47149,"Rutherford County, TN",47159,"Smith County, TN",58,1451000,25017.241379310344,2022
47149,"Rutherford County, TN",47111,"Macon County, TN",65,1195000,18384.615384615383,2022
47149,"Rutherford County, TN",06073,"San Diego County, CA",51,2304000,45176.470588235294,2022
47149,"Rutherford County, TN",12033,"Escambia County, FL",54,2518000,46629.62962962963,2022
47149,"Rutherford County, TN",48085,"Collin County, TX",54,1734000,32111.11111111111,2022
47149,"Rutherford County, TN",48439,"Tarrant County, TX",46,1568000,34086.95652173913,2022
47149,"Rutherford County, TN",12011,"Broward County, FL",44,1362000,30954.545454545456,2022
47149,"Rutherford County, TN",12105,"Polk County, FL",47,1463000,31127.659574468085,2022
47149,"Rutherford County, TN",37183,"Wake County, NC",42,1480000,35238.09523809524,2022
47149,"Rutherford County, TN",47011,"Bradley County, TN",46,1310000,28478.260869565216,2022
47149,"Rutherford County, TN",47081,"Hickman County, TN",48,1141000,23770.833333333332,2022
47149,"Rutherford County, TN",12005,"Bay County, FL",48,1877000,39104.166666666664,2022
47149,"Rutherford County, TN",32003,"Clark County, NV",38,2080000,54736.84210526316,2022
47149,"Rutherford County, TN",37119,"Mecklenburg County, NC",29,1101000,37965.51724137931,2022
47149,"Rutherford County, TN",47179,"Washington County, TN",41,1574000,38390.243902439026,2022
47149,"Rutherford County, TN",06059,"Orange County, CA",45,1277000,28377.777777777777,2022
47149,"Rutherford County, TN",12009,"Brevard County, FL",44,1822000,41409.09090909091,2022
47149,"Rutherford County, TN",21111,"Jefferson County, KY",37,1555000,42027.02702702703,2022
47149,"Rutherford County, TN",47053,"Gibson County, TN",50,1081000,21620.0,2022
47149,"Rutherford County, TN",47103,"Lincoln County, TN",61,1538000,25213.114754098362,2022
47149,"Rutherford County, TN",01003,"Baldwin County, AL",44,1777000,40386.36363636364,2022
47149,"Rutherford County, TN",12071,"Lee County, FL",45,1838000,40844.444444444445,2022
47149,"Rutherford County, TN",12091,"Okaloosa County, FL",38,1168000,30736.842105263157,2022
47149,"Rutherford County, TN",47163,"Sullivan County, TN",43,2942000,68418.6046511628,2022
47149,"Rutherford County, TN",47185,"White County, TN",42,1359000,32357.14285714286,2022
